,year,month,tournament_link,tournament_name,tournament_dates,tournament_prize_money,tournament_super_level,city,country,men_singles_winner,men_singles_runner_up,men_singles_third_place_1,men_singles_third_place_2,women_singles_winner,women_singles_runner_up,women_singles_third_place_1,women_singles_third_place_2,men_doubles_winner_1,men_doubles_winner_2,men_doubles_runner_up_1,men_doubles_runner_up_2,men_doubles_third_place_1_1,men_doubles_third_place_1_2,men_doubles_third_place_2_1,men_doubles_third_place_2_2,women_doubles_winner_1,women_doubles_winner_2,women_doubles_runner_up_1,women_doubles_runner_up_2,women_doubles_third_place_1_1,women_doubles_third_place_1_2,women_doubles_third_place_2_1,women_doubles_third_place_2_2,mixed_doubles_winner_1,mixed_doubles_winner_2,mixed_doubles_runner_up_1,mixed_doubles_runner_up_2,mixed_doubles_third_place_1_1,mixed_doubles_third_place_1_2,mixed_doubles_third_place_2_1,mixed_doubles_third_place_2_2
0,2018,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/3139/princess-sirivannavari-thailand-masters-2018,PRINCESS SIRIVANNAVARI Thailand Masters 2018,09 - 14 JANUARY,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Bangkok,Thailand,Tommy SUGIARTO,LEONG Jun Hao,LIEW Daren,Kantaphon WANGCHAROEN,Nitchaon JINDAPOL,Pornpawee CHOCHUWONG,Soniia CHEAH,KISONA Selvaduray,Tinn ISRIYANET,Kittisak NAMDASH,Wahyu Nayaka ARYA PANGKARYANIRA,Ade Yusuf SANTOSO,Berry ANGRIAWAN,Hardianto HARDIANTO,GOH V Shem,TAN Wee Kiong,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,Anggia Shitta AWANDA,Ni Ketut Mahadewi ISTARANI,Savitree AMITRAPAI,Pacharapun CHOCHUWONG,CHOW Mei Kuan,LEE Meng Yean,CHAN Peng Soon,GOH Liu Ying,Dechapol PUAVARANUKROH,Puttita SUPAJIRAKUL,Nipitphon PHUANGPHUAPET,Jongkolphan KITITHARAKUL,CHEN Tang Jie,PECK Yen Wei
1,2018,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/3143/perodua-malaysia-masters-2018,PERODUA Malaysia Masters 2018,16 - 21 JANUARY,"PRIZE MONEY USD $350,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,Bukit Jalil,Malaysia,Viktor AXELSEN,Kenta NISHIMOTO,LIEW Daren,Hans-Kristian Solberg VITTINGHUS,Ratchanok INTANON,TAI Tzu Ying,Carolina MARIN,Akane YAMAGUCHI,Fajar ALFIAN,Muhammad Rian ARDIANTO,GOH V Shem,TAN Wee Kiong,CHEN Hung Ling,WANG Chi-Lin,Mads CONRAD-PETERSEN,Mads Pieler KOLDING,Kamilla Rytter JUHL,Christinna PEDERSEN,CHEN Qing Chen,JIA Yi Fan,Yuki FUKUSHIMA,Sayaka HIROTA,LEE So Hee,SHIN Seung Chan,TANG Chun Man,TSE Ying Suet,ZHENG Si Wei,HUANG Ya Qiong,GOH Soon Huat,LAI Shevon Jemie,Hafiz FAIZAL,Gloria Emanuelle WIDJAJA
2,2018,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/3140/daihatsu-indonesia-masters-2018,DAIHATSU Indonesia Masters 2018,23 - 28 JANUARY,"PRIZE MONEY USD $350,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,Jakarta,Indonesia,Anthony Sinisuka GINTING,Kazumasa SAKAI,CHOU Tien Chen,SON Wan Ho,TAI Tzu Ying,Saina NEHWAL,HE Bing Jiao,Ratchanok INTANON,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,LI Jun Hui,LIU Yu Chen,LIU Cheng,ZHANG Nan,Satwiksairaj RANKIREDDY,Chirag SHETTY,Misaki MATSUTOMO,Ayaka TAKAHASHI,Greysia POLII,Apriyani RAHAYU,LEE So Hee,SHIN Seung Chan,Kamilla Rytter JUHL,Christinna PEDERSEN,ZHENG Si Wei,HUANG Ya Qiong,Tontowi AHMAD,Liliyana NATSIR,Praveen JORDAN,Melati Daeva OKTAVIANTI,GOH Soon Huat,LAI Shevon Jemie
3,2018,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/3170/yonex-sunrise-dr-akhilesh-das-gupta-india-open-2018,YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,30 JANUARY - 04 FEBRUARY,"PRIZE MONEY USD $350,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,New Delhi,India,SHI Yu Qi,CHOU Tien Chen,QIAO Bin,Iskandar ZULKARNAIN,Beiwen ZHANG,PUSARLA V. Sindhu,CHEUNG Ngan Yi,Ratchanok INTANON,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,Kim ASTRUP,Anders Skaarup RASMUSSEN,HAN Cheng Kai,ZHOU Hao Dong,Mohammad AHSAN,Hendra SETIAWAN,Greysia POLII,Apriyani RAHAYU,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,DU Yue,LI Yin Hui,Kamilla Rytter JUHL,Christinna PEDERSEN,Mathias CHRISTIANSEN,Christinna PEDERSEN,Praveen JORDAN,Melati Daeva OKTAVIANTI,Pranaav Jerry CHOPRA,REDDY Sikki,HE Ji Ting,DU Yue
4,2018,"
FEBRUARY ",https://bwfworldtour.bwfbadminton.com/tournament/3144/yonex-swiss-open-2018,YONEX Swiss Open 2018,20 - 25 FEBRUARY,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Basel,Switzerland,Sameer VERMA,Jan O JORGENSEN,Lucas CORVEE,Kantaphon WANGCHAROEN,Sayaka TAKAHASHI,Natsuki NIDAIRA,Evgeniya KOSETSKAYA,Minatsu MITANI,Mathias BOE,Carsten MOGENSEN,Tinn ISRIYANET,Kittisak NAMDASH,Maneepong JONGJIT,Nanthakarn YORDPHAISONG,Marcus ELLIS,Chris LANGRIDGE,Ayako SAKURAMOTO,Yukiko TAKAHATA,Gabriela STOEVA,Stefani STOEVA,Emilie LEFEL,Anne TRAN,Nami MATSUYAMA,Chiharu SHIDA,Mark LAMSFUSS,Isabel LOHAU,Marcus ELLIS,Lauren SMITH,Ben LANE,Jessica PUGH,Jones Ralfy JANSEN,Carla NYENHUIS
5,2018,"
MARCH ",https://bwfworldtour.bwfbadminton.com/tournament/3146/yonex-german-open-2018,YONEX German Open 2018,06 - 11 MARCH,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Mülheim an der Ruhr,Germany,CHOU Tien Chen,NG Ka Long Angus,Kenta NISHIMOTO,SHI Yu Qi,Akane YAMAGUCHI,CHEN Yu Fei,Nitchaon JINDAPOL,Nozomi OKUHARA,Takuto INOUE,Yuki KANEKO,Fajar ALFIAN,Muhammad Rian ARDIANTO,Mohammad AHSAN,Hendra SETIAWAN,GOH V Shem,TAN Wee Kiong,Yuki FUKUSHIMA,Sayaka HIROTA,HUANG Dong Ping,ZHENG Yu,CHANG Ye Na,KIM Hyerin,Gabriela STOEVA,Stefani STOEVA,GOH Soon Huat,LAI Shevon Jemie,Niclas NOHR,Sara THYGESEN,HE Ji Ting,DU Yue,CHOI Sol Gyu,CHAE Yu Jung
6,2018,"
MARCH ",https://bwfworldtour.bwfbadminton.com/tournament/3141/yonex-all-england-open-2018,YONEX All England Open 2018,14 - 18 MARCH,"PRIZE MONEY USD $1,000,000",https://extranet.bwf.sport/docs/tmt-category/WT_1000.svg,Birmingham,England,SHI Yu Qi,LIN Dan,HUANG Yu Xiang,SON Wan Ho,TAI Tzu Ying,Akane YAMAGUCHI,CHEN Yu Fei,PUSARLA V. Sindhu,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,Mathias BOE,Carsten MOGENSEN,Mads CONRAD-PETERSEN,Mads Pieler KOLDING,Hiroyuki ENDO,Yuta WATANABE,Kamilla Rytter JUHL,Christinna PEDERSEN,Yuki FUKUSHIMA,Sayaka HIROTA,Mayu MATSUMOTO,Wakana NAGAHARA,Shiho TANAKA,Koharu YONEMOTO,Yuta WATANABE,Arisa HIGASHINO,ZHENG Si Wei,HUANG Ya Qiong,ZHANG Nan,LI Yin Hui,Mathias CHRISTIANSEN,Christinna PEDERSEN
7,2018,"
MAY ",https://bwfworldtour.bwfbadminton.com/tournament/3147/barfoot-thompson-new-zealand-open-2018,BARFOOT & THOMPSON New Zealand Open 2018,01 - 06 MAY,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Auckland,New Zealand,LIN Dan,Jonatan CHRISTIE,HEO Kwang Hee,SAI PRANEETH B.,Sayaka TAKAHASHI,ZHANG Yi Man,HAN Yue,Minatsu MITANI,CHEN Hung Ling,WANG Chi-Lin,Berry ANGRIAWAN,Hardianto HARDIANTO,HE Ji Ting,TAN Qiang,Bodin ISARA,Nipitphon PHUANGPHUAPET,Ayako SAKURAMOTO,Yukiko TAKAHATA,CAO Tong Wei,ZHENG Yu,KIM Hyerin,KONG Hee Yong,Arisa HIGASHINO,Kie NAKANISHI,WANG Chi-Lin,LEE Chia Hsin,SEO Seung Jae,CHAE Yu Jung,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,HE Ji Ting,DU Yue
8,2018,"
MAY ",https://bwfworldtour.bwfbadminton.com/tournament/3148/crown-group-australian-open-2018,CROWN GROUP Australian Open 2018,08 - 13 MAY,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Sydney,Australia,LU Guang Zu,ZHOU Ze Qi,LEE Cheuk Yiu,ZHAO Jun Peng,CAI Yan Yan,Ayumi MINE,CHEUNG Ngan Yi,Minatsu MITANI,Berry ANGRIAWAN,Hardianto HARDIANTO,Wahyu Nayaka ARYA PANGKARYANIRA,Ade Yusuf SANTOSO,ATTRI Manu,REDDY B. Sumeeth,Keiichiro MATSUI,Yoshinori TAKEUCHI,Ayako SAKURAMOTO,Yukiko TAKAHATA,BAEK Ha Na,LEE Yu Lim,Misato ARATAMA,Akane WATANABE,CHAE Yu Jung,KIM Hye Jeong,SEO Seung Jae,CHAE Yu Jung,CHAN Peng Soon,GOH Liu Ying,WANG Ze Kang,LI Yin Hui,CHOI Sol Gyu,KIM Ha Na
9,2018,"
JUNE ",https://bwfworldtour.bwfbadminton.com/tournament/3216/2018-yonex-us-open,2018 YONEX US Open,12 - 17 JUNE,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Fullerton,USA,LEE Dong Keun,Mark CALJOUW,Ajay JAYARAM,Khosit PHETPRADAB,LI Xue Rui,Beiwen ZHANG,Michelle LI,Aya OHORI,OU Xuan Yi,REN Xiang Yu,KANG Min Hyuk,KIM Won Ho,Jason Anthony HO-SHUE,Nyl YAKURA,JUNG Jae Wook,KIM Jaehwan,TANG Jin Hua,YU Xiao Han,KIM Hye Jeong,KIM So Yeong,Naoko FUKUMAN,Kurumi YONAO,CHOW Mei Kuan,Vivian HOO,CHAN Peng Soon,GOH Liu Ying,Marvin SEIDEL,Linda EFLER,Ben LANE,Jessica PUGH,Mark LAMSFUSS,Isabel LOHAU
